Reflectivity differences of selected regions
435
Wavelength(nm)   NDS         NDS-error   DBS           DBS-error     SBS          SBS_error
      548.000   -0.0386737   0.00460410    0.0148939   0.00518500   0.00525904   0.00717740
      549.000   -0.0391333   0.00553393    0.0140779   0.00733415   0.00549841   0.00732985
      550.000   -0.0378487   0.00626008    0.0129754   0.00915820   0.00108933   0.00776050
      551.000   -0.0360280   0.00691614    0.0137459   0.00940565 -0.000785768   0.00847705
      552.000   -0.0300176   0.00725734    0.0109699   0.00772990  -0.00497949    0.0105399
      553.000   -0.0244100   0.00622067   0.00417721   0.00702445  -0.00665942   0.00963420
      554.000   -0.0255661   0.00506958   0.00730503   0.00806725 -0.000465482   0.00778215
      555.000   -0.0271902   0.00429276   0.00763655   0.00695635  -0.00287843   0.00720035
      556.000   -0.0305954   0.00410234   0.00502861   0.00596990  -0.00646311   0.00790805
      557.000   -0.0338789   0.00401220   0.00633043   0.00536555  -0.00600579   0.00783985
      558.000   -0.0340627   0.00396069   0.00634164   0.00741045  -0.00365028   0.00749430
      559.000   -0.0384508   0.00388667   0.00610834   0.00884020  -0.00373727   0.00804110
      560.000   -0.0391995   0.00548944  0.000410140   0.00701215  -0.00308919   0.00852805
      561.000   -0.0262315   0.00600254   0.00140518   0.00506530  -0.00183868   0.00864805
      562.000   -0.0172102   0.00470977   0.00868344   0.00489652  -0.00224087   0.00806555
      563.000   -0.0226962   0.00402778   0.00274807   0.00570010  -0.00638461   0.00699875
      564.000   -0.0239190   0.00364472   0.00174046   0.00595700  -0.00309956   0.00749490
      565.000   -0.0228288   0.00371686   0.00905830   0.00512520   0.00156450   0.00873190
      566.000   -0.0226570   0.00387930    0.0122060   0.00406092 -0.000535786   0.00801735
      567.000   -0.0185929   0.00267560   0.00258222   0.00376460  -0.00323796   0.00692820
      568.000   -0.0180109   0.00240318  -0.00212008   0.00345768   0.00310788   0.00678315
      569.000   -0.0165542   0.00329182  7.33733e-05   0.00247323   0.00837433   0.00628925
      570.000   -0.0147689   0.00259419   0.00482342   0.00208218   0.00616515   0.00549865
      571.000   -0.0188948   0.00349855   0.00816905   0.00329736   0.00894824   0.00513815
      572.000   -0.0202963   0.00375766   0.00475839   0.00429227    0.0142675   0.00525560
      573.000   -0.0181139   0.00308248   0.00337455   0.00377532    0.0173697   0.00586750
      574.000   -0.0141543   0.00248808   0.00250104   0.00186797    0.0167477   0.00619885
      575.000   -0.0170685   0.00285681 -0.000746340   0.00284929    0.0155414   0.00644745
      576.000   -0.0182339   0.00366156  -0.00149050   0.00411425    0.0139963   0.00688750
      577.000   -0.0150873   0.00347468  -0.00273651   0.00201698    0.0150538   0.00787420
      578.000   -0.0137816   0.00422974  -0.00335884   0.00475968    0.0141471   0.00850290
      579.000  -0.00362321   0.00377887  -0.00551111   0.00625075    0.0195076   0.00365741
      603.000  -0.00809995   0.00468632   0.00243689   0.00501479    0.0215033    0.0101307
      604.000   -0.0125767   0.00559377    0.0103849   0.00377884    0.0234991    0.0166040
      605.000   -0.0122102   0.00330378   0.00629932   0.00198937    0.0180348    0.0132712
      606.000   -0.0116760   0.00193747   0.00747541   0.00179768    0.0116593   0.00631030
      607.000  -0.00981161   0.00117186   0.00729772   0.00260867    0.0178891   0.00433784
      608.000   -0.0100719  0.000748923   0.00289443   0.00423309    0.0244153   0.00311133
      609.000   -0.0132039   0.00137394   0.00171888   0.00424164    0.0254388   0.00314853
      610.000   -0.0123181   0.00195543   0.00545949   0.00504125    0.0271481   0.00256981
      611.000  -0.00721057   0.00126906   0.00164671   0.00367656    0.0245669   0.00174512
      612.000  -0.00483255  0.000591502  -0.00294703   0.00241873    0.0227609   0.00355955
      613.000  -0.00259762  0.000794496  -0.00226140   0.00296277    0.0282973   0.00875895
      614.000  -0.00239779   0.00139607  0.000432551   0.00281494    0.0440401   0.00848425
      615.000  -0.00378186   0.00174837  0.000763938   0.00223740    0.0526721   0.00576560
      616.000  -0.00310741   0.00172723 -0.000166453   0.00191647    0.0624667    0.0101263
      617.000 -0.000834398   0.00158966  -0.00153739   0.00122459    0.0635445    0.0129772
      618.000 -0.000401095   0.00140248  -0.00216082   0.00134066    0.0495923   0.00907455
      619.000  -0.00373202  0.000799942  -0.00234359   0.00147363    0.0458298    0.0100752
      620.000  -0.00549739  0.000947499  -0.00138386  0.000898600    0.0504318   0.00895265
      621.000  -0.00488131   0.00181871  -0.00141584  0.000659965    0.0573305    0.0124948
      622.000  -0.00455093   0.00210730  -0.00198885  0.000888395    0.0535985    0.0103315
      623.000  -0.00458576   0.00165657 -0.000514686   0.00113066    0.0524363   0.00691050
      624.000  -0.00513592   0.00154039  0.000742197  0.000986645    0.0459298   0.00524555
      625.000  -0.00436418   0.00189811 -0.000798628   0.00130346    0.0357165   0.00475956
      626.000  -0.00440448   0.00247279  0.000586510   0.00213875    0.0254665   0.00400521
      627.000  -0.00475035   0.00223281   0.00658643   0.00225694    0.0210776   0.00415431
      628.000  -0.00737908   0.00216953    0.0112797   0.00363985    0.0188257   0.00518675
      629.000  -0.00581222   0.00643626    0.0143053   0.00489617    0.0158556   0.00582890
      630.000  -0.00301563   0.00678394    0.0127835   0.00381345   0.00740087   0.00523445
      631.000 -0.000934423   0.00325639   0.00828025   0.00330405   0.00190842   0.00533725
      632.000  -0.00176496   0.00227621   0.00917885   0.00198002   0.00349194   0.00561640
      633.000  -0.00574649   0.00323890    0.0119636   0.00205773   0.00477487   0.00571000
      634.000  -0.00901244   0.00312706    0.0112041   0.00308525   0.00325173   0.00615000
      635.000  -0.00859919   0.00282195   0.00907120   0.00318692   0.00400275   0.00608490
      636.000  -0.00708178   0.00299283   0.00745270   0.00364651   0.00721946   0.00494270
      637.000  -0.00838782   0.00299640    0.0109334   0.00590705    0.0127461   0.00435189
      638.000  -0.00647381   0.00285175    0.0141723   0.00510740    0.0136566   0.00448431
      639.000  -0.00410336   0.00201458    0.0132758   0.00295016    0.0145520   0.00499824
      640.000  -0.00378275   0.00257573   0.00851503   0.00209479    0.0158671   0.00504055
      641.000  -0.00374222   0.00242773  0.000706583   0.00137116    0.0181832   0.00379174
      642.000  -0.00530478   0.00114469   0.00600436   0.00173074    0.0194047   0.00406648
      643.000  -0.00766590  0.000958554    0.0149651   0.00252413    0.0236843   0.00543810
      644.000  -0.00674536   0.00137057    0.0123256   0.00345698    0.0220311   0.00587785
      645.000  -0.00604203   0.00153054   0.00933328   0.00491908    0.0235963   0.00563320
      646.000  -0.00795403  0.000749810   0.00948167   0.00638555    0.0280280   0.00561240
      647.000  -0.00781289   0.00112444    0.0108358   0.00689280    0.0324177   0.00585400
      648.000  -0.00681385  0.000852618    0.0114869   0.00498988    0.0315494   0.00480346
      649.000  -0.00479776   0.00135175   0.00704759   0.00257186    0.0349764   0.00449964
      650.000  -0.00387921   0.00151160   0.00529087   0.00320710    0.0398351   0.00442596
      651.000  -0.00671489   0.00143686    0.0109988   0.00238155    0.0373312   0.00354003
      652.000  -0.00828206   0.00133325    0.0101599  0.000827010    0.0269519   0.00242192
      653.000  -0.00543453  0.000787152   0.00637449   0.00224055    0.0306487   0.00306674
      654.000  -0.00302362   0.00156809  0.000797987   0.00187620    0.0352300   0.00430960
      655.000  0.000164375   0.00242709  -0.00138266   0.00308147    0.0457851   0.00669275
      656.000  -0.00273992  0.000506554  -0.00241432   0.00124361    0.0437437   0.00519580
      657.000  -0.00495035   0.00152037   0.00348380   0.00143260    0.0540208   0.00670200
      658.000  -0.00303072   0.00144705    0.0134248   0.00674670    0.0603300   0.00881080
      659.000  0.000218659   0.00112473   0.00886157   0.00412758    0.0528820   0.00987690
      660.000   0.00225380   0.00107152   0.00504234   0.00244010    0.0540584    0.0134669
      661.000   0.00293437   0.00175550  0.000995189   0.00168536    0.0606595    0.0155735
      662.000  -0.00129768   0.00162961  -0.00208980   0.00148693    0.0618617    0.0126756
      663.000  -0.00314480   0.00143575  -0.00292636   0.00144056    0.0626717   0.00976615
      664.000  -0.00117473  0.000789930  -0.00216055   0.00120715    0.0665888    0.0104769
      665.000   0.00123388  0.000652641  -0.00153746   0.00116524    0.0615568    0.0125443
      666.000   0.00121703   0.00106861  -0.00110755  0.000576510    0.0564442    0.0142275
      667.000  0.000250741   0.00103464 -0.000742629  0.000666550    0.0559526    0.0128535
      668.000  0.000465088  0.000661369   0.00116582   0.00173924    0.0672188    0.0118884
      669.000   0.00176641  0.000845595   0.00567390   0.00464664    0.0732221   0.00981340
      670.000   0.00324159   0.00184036    0.0106639   0.00909055    0.0738372    0.0120639
      671.000   0.00183358   0.00144062   0.00565234   0.00327592    0.0640910    0.0146738
      672.000  -0.00177951  0.000467681  0.000631377  0.000449874    0.0439955    0.0156936
      673.000  -0.00356364  0.000674438   0.00236711  0.000417889    0.0234055   0.00293036
      674.000  -0.00647030   0.00164362    0.0142066   0.00227625    0.0405014   0.00457660
      675.000   -0.0100067   0.00179199    0.0158696   0.00157713    0.0289391   0.00467105
      676.000   -0.0104901   0.00150696    0.0177683   0.00113817    0.0229890   0.00472223
      677.000  -0.00881592   0.00172100    0.0180599   0.00127390    0.0232292   0.00502905
      678.000   -0.0102416   0.00210286    0.0154295   0.00181538    0.0260792   0.00561205
      679.000   -0.0129976   0.00151161    0.0122522   0.00148434    0.0272585   0.00626565
      680.000   -0.0107392  0.000515373    0.0147035   0.00328301    0.0346774   0.00666385
      681.000  -0.00727049   0.00100203    0.0110558   0.00312305    0.0338923   0.00579750
      682.000  -0.00324165   0.00184840   0.00460918   0.00240623    0.0431388    0.0129616
      683.000 -0.000118494   0.00120619   0.00148286  0.000808715    0.0518925    0.0215304
      684.000   0.00122043   0.00121042   0.00748508   0.00454977    0.0574556    0.0131165
      685.000  -0.00106096   0.00202721   0.00679551   0.00358340    0.0425319   0.00590295
      686.000  -0.00437492   0.00163895   0.00513792   0.00324123    0.0342098   0.00429046
      687.000  -0.00459040   0.00106272   0.00873201   0.00483412    0.0313201   0.00424196
      688.000  -0.00370029   0.00102929    0.0111535   0.00265580    0.0266293   0.00419814
      689.000  -0.00261154  0.000711228    0.0137426   0.00187594    0.0286883   0.00477599
      690.000 -0.000383735   0.00104622    0.0135956   0.00236950    0.0297871   0.00554740
      691.000  -0.00105177   0.00142956    0.0147182   0.00249649    0.0320279   0.00900120
      692.000  -0.00400878  0.000960373    0.0150471   0.00278901    0.0304399   0.00694825
      693.000  -0.00408803  0.000927535    0.0129660   0.00273171    0.0303171   0.00433721
      694.000  -0.00122900   0.00182818    0.0141515   0.00295099    0.0380391   0.00490007
      695.000  -0.00251674   0.00208766   0.00610831   0.00232916    0.0452799   0.00628515
      696.000  -0.00392299   0.00151258  0.000688061   0.00105163    0.0596896   0.00915705
      697.000  -0.00164486   0.00104008 -0.000343129   0.00130935    0.0726629    0.0171907
      698.000  0.000117935   0.00110174 -0.000239573   0.00200504    0.0734425    0.0170582
      699.000  0.000627131   0.00135261  -0.00150401   0.00115619    0.0742816    0.0132624
      700.000   0.00150311   0.00103589  -0.00365907  0.000344562    0.0828470    0.0223770
      701.000   0.00276238  0.000997883  -0.00287627  0.000728020    0.0963520    0.0228274
      702.000   0.00315248   0.00104071  0.000710756   0.00184321     0.107250    0.0212538
      703.000   0.00318948  0.000572816   0.00200074   0.00177147     0.110544    0.0235220
      704.000   0.00447456  0.000982704   0.00204359  0.000912115     0.105045    0.0179404
      705.000   0.00326014   0.00146984   0.00141468  0.000973145    0.0898149    0.0134040
      706.000   0.00267598   0.00133625 -0.000487514  0.000592640    0.0949191    0.0203247
      707.000   0.00488798  0.000963005  -0.00128698   0.00149724    0.0989805    0.0269593
      708.000   0.00331229  0.000861653  -0.00267927   0.00136170    0.0963658    0.0287492
      709.000 -1.06245e-05  0.000653990  -0.00306784   0.00161420    0.0931081    0.0266575
      710.000 -0.000390306   0.00119514  -0.00244740   0.00162330    0.0682954    0.0128733
      711.000   0.00219663   0.00107055 -5.50598e-05   0.00208922    0.0707878    0.0148482
      712.000   0.00270146  0.000667563   0.00351603   0.00473518    0.0690421    0.0101051
      713.000   0.00225777  0.000541790  -0.00151967   0.00266981    0.0925616    0.0167460
      714.000  0.000670583  0.000670796  -0.00277434   0.00198733    0.0939052    0.0246572
      715.000  0.000251324   0.00115051  -0.00173173  0.000666590    0.0973028    0.0298335
      716.000  0.000380390  0.000924286  0.000225864   0.00126522    0.0878876    0.0151231
      717.000  0.000555888  0.000858381  0.000183433   0.00102355     0.112070    0.0214531
      718.000  0.000142898  0.000504782  -0.00120201  0.000484080     0.120658    0.0252634
      719.000  0.000140924  0.000442970  -0.00151106  0.000548180     0.117695    0.0241819
      720.000 -0.000563521  0.000533191 -0.000529286  0.000753780     0.124415    0.0297293
      721.000 -0.000244758  0.000507737   0.00214372   0.00329068     0.145441    0.0394117
      722.000   0.00112309   0.00133921  -0.00102128   0.00104991     0.159245    0.0427104
      723.000   0.00161029   0.00137296  -0.00167897  0.000862845     0.154891    0.0393829
      724.000  0.000379081  0.000467123  -0.00131757  0.000823385     0.131743    0.0299136
      725.000 -0.000592203  0.000308792 -0.000939656  0.000697945     0.137343    0.0366954
      726.000 -0.000915739  0.000676313  -0.00166541  0.000692020     0.122110    0.0299953
      727.000 -0.000866890  0.000541495  -0.00244539  0.000501150     0.123503    0.0308193
      728.000 -0.000224061  0.000417935  -0.00207219  0.000225832     0.127895    0.0325569
      729.000  0.000829644  0.000404921 -0.000671610  0.000458309     0.131261    0.0330676
      730.000  0.000164982  0.000481967 -0.000916608  0.000592825     0.141575    0.0393014
      731.000 -0.000465457  0.000838634  -0.00250287  0.000533160     0.144043    0.0362772
      732.000 -0.000967118  0.000660082  -0.00239733  0.000352889     0.142736    0.0301470
      733.000 -0.000547212  0.000893859  -0.00143884  0.000289916     0.150632    0.0334745
      734.000  0.000578151  0.000825179  -0.00117111  0.000470664     0.130637    0.0292659
      735.000   0.00118009  0.000366019  -0.00196212  0.000470187     0.127689    0.0292441
      736.000   0.00195786  0.000600496  -0.00216983  0.000578805     0.136115    0.0284290
      737.000   0.00218510  0.000557115  -0.00101688   0.00116781     0.129080    0.0251292
      738.000   0.00202817  0.000835070 -0.000912327   0.00151999     0.121997    0.0269012
      739.000   0.00282953  0.000676119  0.000303708   0.00150580     0.123611    0.0230358
      740.000   0.00261827  0.000621747   0.00158903   0.00126860     0.113193    0.0282684
      741.000   0.00184616   0.00200828   0.00399607   0.00370445     0.113286    0.0565245
      742.000  0.000354752   0.00128086   0.00826244   0.00620230     0.108048    0.0619920
      743.000  -0.00184847  0.000474658    0.0132426   0.00641430    0.0817917    0.0134193
      744.000  -0.00236841  0.000872026    0.0293344   0.00924380    0.0728528   0.00910035
      745.000 -0.000961096   0.00156778    0.0288508   0.00594240    0.0617015   0.00879900
      746.000  -0.00123133   0.00202218    0.0202544   0.00387348    0.0661956    0.0161991
      747.000  -0.00408942   0.00300334    0.0107739   0.00369292    0.0642426   0.00947240
      748.000  -0.00500274   0.00306803    0.0118757   0.00574495    0.0727942    0.0165724
      749.000  -0.00459284   0.00172472    0.0166711   0.00501230    0.0538322   0.00805870
      750.000  -0.00363327  0.000796468    0.0244241   0.00780630    0.0706097    0.0140876
      751.000  -0.00221388   0.00100240    0.0249905   0.00866390    0.0715660    0.0116134
      752.000  -0.00164469   0.00118434    0.0221823   0.00620410    0.0731920    0.0148937
      753.000  -0.00282928   0.00117096    0.0282793   0.00313915    0.0688171   0.00905845
      754.000  -0.00284729  0.000776301    0.0399915   0.00763655    0.0881676    0.0204729
      755.000  -0.00209093   0.00129415    0.0248892   0.00450233    0.0766838    0.0182817
